User_Chat,Day_Condition,Weather_Condition
안녕하세요,,
히히 졸리다,,
지금 뭐하고 있는거죠?,,
이야아아아,,
님 농부 맞?,,
와 딸기 키워주세요,,
먹방 가즈아,,
광질 조하,,
재밌겠다,,
이게 바로 농촌라이프?,,
농사 지으면 돈 많이 버나요?,,
내가 바로 개다,,
고양이 보여주세요.,,
과일 먹고 싶다,,
안녕하세요. 이 문자는 영국에서부터 시작되어 어쩌구 저쩌구,,
우리 영상 보러 오세요~! 렌고쿠TV 구독~,,
와 이거 진짜 퀄 실화냐,,
와 진짜 이 집 풍경 힐링 그 자체다,,
너무 재밌어ㅠㅠ ,,
저거 직접 다 수확하신 거예요??,,
중독성 무엇... 계속 보게 됨,,
"내 이름은 코난, 농부죠",,
요즘 이 채널 보는 재미로 산다,,
매번 느끼지만 편집 진짜 정성이다,,
왜 이제 알았지 이 채널...,,
힐링 제대로 하고 갑니다,,
이거 진짜 킬포 많음ㅋㅋㅋㅋ,,
오늘 하루 힘들었는데 덕분에 웃었어요,,
편집 너무 잘하시는데요??,,
영상미 미쳤다 ㄷㄷ,,
진짜 실력 미쳤다 ㄷㄷ,,
이런 콘텐츠 너무 좋아요ㅠㅠ,,
와 대박,,
그냥 계속 보고 싶다,,
알고리즘이 날 여기로 데려왔다,,
점점 더 좋아지는 느낌!,,
나만 재밌는 거 아니지…?,,
이 채널은 진짜 믿고 본다,,
이 채널 뜬다 진짜,,
나만 이 채널 좋아하는 거 아니지?,,
오늘도 레전드 갱신,,
누가 여기 보물창고라고 했냐 진짜 맞음,,
킹정... 이건 못 참지,,
오늘도 영상 보면서 하루 마무리합니다~,,
진짜 볼 때마다 힐링돼요:),,
이렇게 감성 넘치는 채널 오랜만이다,,
와 이걸 어떻게 이렇게 만들지…,,
구독박는다 미친,,
이 채널은 진짜 과몰입된다,,
꺄악,,
채널 구독하고 갑니다~,,
매일 이 시간만 기다리는 중입니다,,
퇴근하고 누워서 보는데 천국이다,,
아 이게 바로 힐링?,,
나도 농촌 갈래,,
나도 귀농때릴란다,,
시골가면 진짜 이렇게 살 수 있는건가요?,,
나도 이렇게 여유 좀 찾고 싶다,,
여유로운 듯 싶은데 은근 바쁘네 ee,,
세월을 낚고파~,,
ㄹㅇ취적,,
영상미 미쳤고,,
가족들한테도 추천했어요ㅋㅋ,,
새벽에 보면 더 감성 터지는 채널…,,
이 채널은 진짜 더 떠야 함,,
이 영상은 꼭 공유해야 돼,,
아… 마음이 몽글몽글해진다,,
이 채널 처음인데 왜케 따뜻하냐…,,
